INDEX,watershed,POPULATION_2010,F_pop_atrisk,F_essentialfacilities_floodplain,F_dams,F_levees,F_risk,F_risk_level
1,americanfalls,77212,2935,0,5,8,750.1,H
2,bear lake,9713,453,1,7,0,328.9,H
3,beaver-camas,2403,408,0,0,0,68.625,M
4,big lost ,3998,632,1,1,0,116.6625,M
5,big wood,23221,1314,11,7,23,1174.15,H
6,birch,18,0,0,0,0,4.85,L
7,blackfoot,58074,5546,0,2,13,783.0875,H
8,boise mores,3416,223,0,1,0,99.225,M
9,brownlee reservoir,5185,388,0,1,0,110.85,M
10,bruneau,670,164,1,4,0,142.425,M
11,c.j. strike reservoir,26527,1134,0,10,0,535.0125,H
12,camas,1034,173,1,2,0,107.15,M
13,central bear,135,6,0,0,0,15.275,L
14,clearwater,45898,1710,0,9,44,1433.25,H
15,coeur d'alene lake,34838,1219,0,0,6,310.125,H
16,curlew valley,362,6,1,2,0,42,L
17,east little owyhee,0,0,0,0,0,2.225,L
18,goose,6613,1006,0,1,0,124.9875,M
19,hangman,1726,73,0,0,0,48.1,L
20,hells canyon,21,0,0,1,0,8.5875,L
21,idaho falls,33155,3126,0,0,13,610.5,H
22,jordan,78,0,7,5,0,48.9125,L
23,lake walcott,37901,3873,5,7,0,478.1,H
24,lemhi,1881,159,0,1,1,113.35,M
25,little bear-logan,0,0,0,0,0,2.225,L
26,little lost,333,54,0,0,1,44.7375,L
27,little salmon,2399,103,0,3,0,133.25,M
28,little spokane,691,0,0,0,0,22.35,L
29,little wood,10005,3543,1,2,1,252.4375,H
30,lochsa,79,0,0,0,0,11.85,L
31,lower bear-malad,3867,7,2,7,0,180.4,M
32,lower boise,573637,30238,1,20,20,1640.6,H
33,lower clark fork,1619,141,1,1,2,105.65,M
34,lower henrys,30196,614,0,1,5,281.775,H
35,lower kootenai,10481,285,0,1,22,680.85,H
36,lower middle fork salmon,4,0,3,2,0,9.2,L
37,lower north fork clearwater,662,52,2,1,0,51.525,L
38,lower salmon,1858,48,0,0,12,215.125,M
39,lower selway,13754,1,0,0,0,7.45,L
40,lower snake-asotin,28,273,0,0,0,81.875,M
41,medicine lodge,825,383,0,0,0,55.55,L
42,middle bear,14847,18,5,18,0,404.95,H
43,middle fork clearwater,1598,69,0,0,1,66.975,M
44,middle fork payette,1350,66,0,0,0,42.925,L
45,middle kootenai,0,0,0,0,0,2.225,L
46,middle owyhee,21,0,0,1,0,8.5875,L
47,middle salmon-chamberlain,47,3,0,0,0,10.925,L
48,middle salmon-panter,5895,163,2,2,11,374.6875,H
49,middle snake-payette,11145,799,0,1,2,179,M
50,middle snake-succor,18071,2908,14,10,0,592.2125,H
51,moyie,925,21,0,1,0,52.8,L
52,north and middle forks boise,44,0,0,0,0,8.35,L
53,north fork payette,9791,218,30,25,0,606,H
54,pahsimeroi,255,16,0,0,0,19.575,L
55,palisades,761,73,2,2,0,80.75,M
56,palouse,31487,1447,0,1,1,206.65,M
57,payette,30522,4357,4,14,18,1270.5,H
58,pend oreille,1321,19,0,1,0,52.875,L
59,pend oreille lake,37818,1662,4,2,0,219.3,M
60,portneuf,86445,2242,3,4,7,638.4125,H
61,priest,3623,129,0,0,0,60.225,L
62,raft,1877,162,0,1,0,84.975,M
63,rock,36,0,0,0,0,7.475,L
64,salmon falls,882,43,0,2,0,70.35,M
65,salt,242,0,0,2,0,27.2,L
66,south fork boise,261,19,0,2,0,44.3,L
67,south fork clearwater,9131,470,0,1,45,817,H
68,south fork coeur d'alene,11035,3711,7,8,19,1060.75,H
69,south fork owyhee,0,0,0,0,0,2.225,L
70,south fork payette,557,52,0,1,0,47.4375,L
71,south fork salmon,64,0,0,0,0,10.1,L
72,st.joe,8738,802,0,0,21,631.6875,H
73,teton,27668,3774,0,0,0,110.05,M
74,uper owyhee,481,20,1,4,0,80.925,M
75,upper coeur d'alene,2845,128,0,0,0,38.4,L
76,upper henrys,5,94,2,7,0,220.8,M
77,upper middle fork salmon,0,0,0,0,0,3.975,L
78,upper north fork clearwater,381,0,0,0,0,2.225,L
79,upper salmon,2856,302,0,5,0,237.3875,M
80,upper selway,0,0,0,0,0,2.225,L
81,upper snake-rock,107887,2217,14,14,0,719.85,H
82,upper spokane,99092,1608,0,7,3,560.25,H
83,weiser,6771,1055,8,18,12,929.775,H
84,willow,6290,128,1,1,0,96.375,M
