# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.577219238281250000e+03 4.907608886718750000e+03 1.002034306526184082e+00
1.000000000000000000e+03 1.007058654785156250e+03 7.104702758789062500e+02 3.812594115734100342e-01
2.000000000000000000e+03 1.669875183105468750e+02 8.310136413574218750e+01 1.303922384977340698e-01
3.000000000000000000e+03 2.019230842590332031e+01 5.787830829620361328e+00 3.441165015101432800e-02
4.000000000000000000e+03 1.748818278312683105e+00 2.470848411321640015e-01 7.110016886144876480e-03
5.000000000000000000e+03 3.632643520832061768e-01 3.167767524719238281e-01 8.050513453781604767e-03
6.000000000000000000e+03 1.331588532775640488e-02 5.647884216159582138e-03 1.074954867362976074e-03
7.000000000000000000e+03 2.698904834687709808e-03 5.169369280338287354e-03 1.028410741128027439e-03
8.000000000000000000e+03 2.111110370606184006e-03 4.687906708568334579e-03 9.793489007279276848e-04
9.000000000000000000e+03 8.985057473182678223e-03 1.202107965946197510e-02 1.568276435136795044e-03
1.000000000000000000e+04 2.625247230753302574e-03 5.548172164708375931e-03 1.065417774952948093e-03
1.100000000000000000e+04 8.315788209438323975e-02 9.821752458810806274e-02 4.482712130993604660e-03
1.200000000000000000e+04 1.133434940129518509e-02 1.493607275187969208e-02 1.748110400512814522e-03
1.300000000000000000e+04 3.808112069964408875e-02 4.519630968570709229e-02 3.040866227820515633e-03
1.400000000000000000e+04 1.064813043922185898e-02 1.424950454384088516e-02 1.707460382021963596e-03
1.500000000000000000e+04 1.142277289181947708e-02 1.511632744222879410e-02 1.758627360686659813e-03
1.600000000000000000e+04 1.198302023112773895e-02 1.347177661955356598e-02 1.660211011767387390e-03
1.700000000000000000e+04 2.017345279455184937e-01 2.223233431577682495e-01 6.744365207850933075e-03
1.800000000000000000e+04 1.252776663750410080e-02 1.591238006949424744e-02 1.804339350201189518e-03
1.900000000000000000e+04 4.391076043248176575e-03 7.133656181395053864e-03 1.208112924359738827e-03
2.000000000000000000e+04 4.477797076106071472e-03 6.319404114037752151e-03 1.137055922299623489e-03
2.100000000000000000e+04 2.909570001065731049e-02 3.279118239879608154e-02 2.590170828625559807e-03
2.200000000000000000e+04 3.889984916895627975e-03 5.742717999964952469e-03 1.083932467736303806e-03
2.300000000000000000e+04 2.861011307686567307e-03 4.623452201485633850e-03 9.725824929773807526e-04
2.400000000000000000e+04 2.543527074158191681e-02 2.860684134066104889e-02 2.419273601844906807e-03
2.500000000000000000e+04 1.507236505858600140e-03 3.371369792148470879e-03 8.305299561470746994e-04
2.600000000000000000e+04 1.182011095806956291e-03 2.528753364458680153e-03 7.192777702584862709e-04
2.700000000000000000e+04 4.246426397003233433e-04 1.819473342038691044e-03 6.101296166889369488e-04
2.800000000000000000e+04 9.477237239480018616e-03 1.072388235479593277e-02 1.481221755966544151e-03
2.900000000000000000e+04 9.809143841266632080e-03 1.100525632500648499e-02 1.500553218647837639e-03
3.000000000000000000e+04 6.038477295078337193e-04 1.523442449979484081e-03 5.582880694419145584e-04
3.100000000000000000e+04 4.156670067459344864e-03 5.604034755378961563e-03 1.070786383934319019e-03
3.200000000000000000e+04 4.971700836904346943e-04 1.320109120570123196e-03 5.196988931857049465e-04
3.300000000000000000e+04 1.214737072587013245e-03 2.012742683291435242e-03 6.417224649339914322e-04
3.400000000000000000e+04 3.672633611131459475e-04 1.244580489583313465e-03 5.046146106906235218e-04
3.500000000000000000e+04 4.805492062587291002e-04 1.274953945539891720e-03 5.107321776449680328e-04
3.600000000000000000e+04 1.772837713360786438e-02 1.951442100107669830e-02 1.998151419684290886e-03
3.700000000000000000e+04 8.172680390998721123e-04 1.660822890698909760e-03 5.829281872138381004e-04
3.800000000000000000e+04 4.759870469570159912e-02 5.033771693706512451e-02 3.209169022738933563e-03
3.900000000000000000e+04 4.032453871332108974e-04 1.134469057433307171e-03 4.817745648324489594e-04
4.000000000000000000e+04 3.321316093206405640e-03 4.347973037511110306e-03 9.431840153411030769e-04
4.100000000000000000e+04 5.322092212736606598e-03 6.055028177797794342e-03 1.113015110604465008e-03
4.200000000000000000e+04 4.814916464965790510e-04 1.239862991496920586e-03 5.036605289205908775e-04
4.300000000000000000e+04 2.755328081548213959e-03 3.798514371737837791e-03 8.815769106149673462e-04
4.400000000000000000e+04 4.871075216215103865e-04 1.241049030795693398e-03 5.038953386247158051e-04
4.500000000000000000e+04 2.051079878583550453e-03 2.611255971714854240e-03 7.309332722797989845e-04
4.600000000000000000e+04 1.418996485881507397e-03 2.198598580434918404e-03 6.706797285005450249e-04
4.700000000000000000e+04 1.040343847125768661e-02 1.123389694839715958e-02 1.516035059466958046e-03
4.800000000000000000e+04 6.496008136309683323e-04 1.671654405072331429e-03 5.848240689374506474e-04
4.900000000000000000e+04 1.012534135952591896e-03 2.240587724372744560e-03 6.770699983462691307e-04
5.000000000000000000e+04 1.284140907227993011e-02 1.375830732285976410e-02 1.677748514339327812e-03
