,0
0,32977.832
1,32951.234
2,32923.2
3,32893.305
4,32861.21
5,32826.562
6,32789.18
7,32749.05
8,32706.316
9,32661.186
10,32613.88
11,32564.691
12,32513.969
13,32462.123
14,32409.586
15,32356.771
16,32304.08
17,32251.857
18,32200.422
19,32150.035
20,32100.906
21,32053.209
22,32007.064
23,31962.55
24,31919.684
25,31878.475
26,31838.875
27,31800.834
28,31764.285
29,31729.13
30,31695.295
31,31662.68
32,31631.197
33,31600.758
34,31571.271
35,31542.664
36,31514.855
37,31487.777
38,31461.363
39,31435.553
40,31410.291
41,31385.531
42,31361.23
43,31337.344
44,31313.844
45,31290.69
46,31267.854
47,31245.314
48,31223.047
49,31201.031
50,31179.248
51,31157.68
52,31136.316
53,31115.139
54,31094.143
55,31073.305
56,31052.625
57,31032.092
58,31011.7
59,30991.44
60,30971.305
61,30951.29
62,30931.389
63,30911.592
64,30891.9
65,30872.314
66,30852.82
67,30833.41
68,30814.094
69,30794.863
70,30775.723
71,30756.65
72,30737.656
73,30718.738
74,30699.893
75,30681.111
76,30662.402
77,30643.752
78,30625.172
79,30606.65
80,30588.19
81,30569.783
82,30551.436
83,30533.146
84,30514.908
85,30496.723
86,30478.584
87,30460.5
88,30442.46
89,30424.473
90,30406.527
91,30388.633
92,30370.777
93,30352.967
94,30335.203
95,30317.475
96,30299.791
97,30282.145
98,30264.535
99,30246.967
100,30229.436
101,30211.941
102,30194.482
103,30177.064
104,30159.672
105,30142.322
106,30125.0
107,30107.71
108,30090.46
109,30073.242
110,30056.05
111,30038.883
112,30021.762
113,30004.658
114,29987.586
115,29970.547
116,29953.535
117,29936.55
118,29919.594
119,29902.664
120,29885.764
121,29868.889
122,29852.045
123,29835.217
124,29818.42
125,29801.65
126,29784.902
127,29768.18
128,29751.486
129,29734.809
130,29718.158
131,29701.525
132,29684.928
133,29668.35
134,29651.79
135,29635.256
136,29618.742
137,29602.248
138,29585.781
139,29569.33
140,29552.902
141,29536.5
142,29520.107
143,29503.748
144,29487.4
145,29471.078
146,29454.771
147,29438.486
148,29422.223
149,29405.979
150,29389.75
151,29373.541
152,29357.35
153,29341.184
154,29325.031
155,29308.895
156,29292.781
157,29276.684
158,29260.605
159,29244.545
160,29228.5
161,29212.473
162,29196.467
163,29180.473
164,29164.5
165,29148.54
166,29132.594
167,29116.672
168,29100.762
169,29084.873
170,29068.998
171,29053.137
172,29037.291
173,29021.467
174,29005.656
175,28989.861
176,28974.084
177,28958.316
178,28942.564
179,28926.83
180,28911.111
181,28895.408
182,28879.723
183,28864.045
184,28848.387
185,28832.742
186,28817.113
187,28801.498
188,28785.896
189,28770.31
190,28754.736
191,28739.18
192,28723.639
193,28708.107
194,28692.592
195,28677.092
196,28661.6
197,28646.125
198,28630.666
199,28615.217
200,28599.783
201,28584.37
202,28568.96
203,28553.564
204,28538.184
205,28522.814
206,28507.467
207,28492.123
208,28476.795
209,28461.479
210,28446.178
211,28430.893
212,28415.613
213,28400.354
214,28385.1
215,28369.857
216,28354.633
217,28339.42
218,28324.219
219,28309.031
220,28293.85
221,28278.686
222,28263.54
223,28248.395
224,28233.268
225,28218.152
226,28203.047
227,28187.955
228,28172.875
229,28157.803
230,28142.75
231,28127.705
232,28112.676
233,28097.652
234,28082.643
235,28067.643
236,28052.656
237,28037.68
238,28022.717
239,28007.764
240,27992.822
241,27977.896
242,27962.973
243,27948.066
244,27933.172
245,27918.285
246,27903.414
247,27888.553
248,27873.7
249,27858.857
250,27844.027
251,27829.21
252,27814.4
253,27799.605
254,27784.816
255,27770.045
256,27755.277
257,27740.527
258,27725.783
259,27711.05
260,27696.33
261,27681.623
262,27666.922
263,27652.23
264,27637.55
265,27622.88
266,27608.223
267,27593.572
268,27578.936
269,27564.31
270,27549.691
271,27535.086
272,27520.492
273,27505.906
274,27491.328
275,27476.764
276,27462.203
277,27447.66
278,27433.127
279,27418.604
280,27404.086
281,27389.584
282,27375.086
283,27360.6
284,27346.127
285,27331.66
286,27317.205
287,27302.762
288,27288.324
289,27273.896
290,27259.482
291,27245.08
292,27230.68
293,27216.295
294,27201.92
295,27187.553
296,27173.197
297,27158.848
298,27144.512
299,27130.18
300,27115.861
301,27101.559
302,27087.252
303,27072.965
304,27058.684
305,27044.41
306,27030.152
307,27015.896
308,27001.656
309,26987.426
310,26973.2
311,26958.986
312,26944.783
313,26930.584
314,26916.4
315,26902.223
316,26888.055
317,26873.895
318,26859.748
319,26845.604
320,26831.479
321,26817.35
322,26803.238
323,26789.137
324,26775.04
325,26760.955
326,26746.883
327,26732.816
328,26718.758
329,26704.709
330,26690.666
331,26676.639
332,26662.617
333,26648.607
334,26634.6
335,26620.607
336,26606.62
337,26592.645
338,26578.672
339,26564.717
340,26550.768
341,26536.822
342,26522.893
343,26508.967
344,26495.055
345,26481.146
346,26467.248
347,26453.361
348,26439.48
349,26425.613
350,26411.75
351,26397.895
352,26384.05
353,26370.215
354,26356.387
355,26342.57
356,26328.758
357,26314.955
358,26301.166
359,26287.38
360,26273.605
361,26259.84
362,26246.08
363,26232.33
364,26218.59
365,26204.855
366,26191.133
367,26177.416
368,26163.709
369,26150.012
370,26136.322
371,26122.637
372,26108.965
373,26095.303
374,26081.645
375,26067.998
376,26054.357
377,26040.729
378,26027.104
379,26013.486
380,25999.883
381,25986.283
382,25972.697
383,25959.117
384,25945.545
385,25931.98
386,25918.422
387,25904.875
388,25891.336
