# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.429509765625000000e+03 9.429509765625000000e+03 1.000393509864807129e+00
1.000000000000000000e+03 3.151333496093750000e+03 3.151333496093750000e+03 5.783270001411437988e-01
2.000000000000000000e+03 1.540649536132812500e+03 1.540649536132812500e+03 4.043693244457244873e-01
3.000000000000000000e+03 9.421725463867187500e+02 9.421725463867187500e+02 3.162215650081634521e-01
4.000000000000000000e+03 5.754343872070312500e+02 5.754343872070312500e+02 2.471292763948440552e-01
5.000000000000000000e+03 3.298220520019531250e+02 3.298220520019531250e+02 1.870967149734497070e-01
6.000000000000000000e+03 1.773456878662109375e+02 1.773456878662109375e+02 1.371944695711135864e-01
7.000000000000000000e+03 8.898278808593750000e+01 8.898278808593750000e+01 9.718053787946701050e-02
8.000000000000000000e+03 4.038932800292968750e+01 4.038932800292968750e+01 6.547260284423828125e-02
9.000000000000000000e+03 1.589720439910888672e+01 1.589720439910888672e+01 4.107585549354553223e-02
1.000000000000000000e+04 5.177707672119140625e+00 5.177707672119140625e+00 2.344201691448688507e-02
1.100000000000000000e+04 1.418310523033142090e+00 1.418310523033142090e+00 1.226907875388860703e-02
1.200000000000000000e+04 3.699859380722045898e-01 3.699859380722045898e-01 6.266410928219556808e-03
1.300000000000000000e+04 1.058922111988067627e-01 1.058922111988067627e-01 3.352419473230838776e-03
1.400000000000000000e+04 4.433467984199523926e-02 4.433467984199523926e-02 2.169197192415595055e-03
1.500000000000000000e+04 1.911400631070137024e-02 1.911400631070137024e-02 1.424302929081022739e-03
1.600000000000000000e+04 1.215847395360469818e-02 1.215847395360469818e-02 1.135967671871185303e-03
1.700000000000000000e+04 9.556080214679241180e-03 9.556080214679241180e-03 1.007084036245942116e-03
1.800000000000000000e+04 8.697215467691421509e-03 8.697215467691421509e-03 9.607669780962169170e-04
1.900000000000000000e+04 6.333570461720228195e-03 6.333570461720228195e-03 8.198803989216685295e-04
2.000000000000000000e+04 4.460090398788452148e-01 4.460090398788452148e-01 6.880140863358974457e-03
2.100000000000000000e+04 4.428969323635101318e-02 4.428969323635101318e-02 2.168080303817987442e-03
2.200000000000000000e+04 8.188004605472087860e-03 8.188004605472087860e-03 9.322207188233733177e-04
2.300000000000000000e+04 1.717568375170230865e-02 1.717568375170230865e-02 1.350143458694219589e-03
2.400000000000000000e+04 3.218747079372406006e-01 3.218747079372406006e-01 5.844789091497659683e-03
2.500000000000000000e+04 5.439562350511550903e-02 5.439562350511550903e-02 2.402735408395528793e-03
2.600000000000000000e+04 8.474785834550857544e-03 8.474785834550857544e-03 9.483878966420888901e-04
2.700000000000000000e+04 3.160825371742248535e-01 3.160825371742248535e-01 5.791960749775171280e-03
2.800000000000000000e+04 7.458459138870239258e-01 7.458459138870239258e-01 8.897136896848678589e-03
2.900000000000000000e+04 3.014664165675640106e-03 3.014664165675640106e-03 5.656495923176407814e-04
3.000000000000000000e+04 2.663223631680011749e-02 2.663223631680011749e-02 1.681254245340824127e-03
3.100000000000000000e+04 6.272125057876110077e-03 6.272125057876110077e-03 8.158864220604300499e-04
3.200000000000000000e+04 2.626362023875117302e-03 2.626362023875117302e-03 5.279639735817909241e-04
3.300000000000000000e+04 1.081821229308843613e-02 1.081821229308843613e-02 1.071518985554575920e-03
3.400000000000000000e+04 3.717680228874087334e-03 3.717680228874087334e-03 6.281550158746540546e-04
3.500000000000000000e+04 1.635610498487949371e-02 1.635610498487949371e-02 1.317559159360826015e-03
3.600000000000000000e+04 1.833681203424930573e-02 1.833681203424930573e-02 1.395055325701832771e-03
3.700000000000000000e+04 7.506625726819038391e-03 7.506625726819038391e-03 8.925888105295598507e-04
3.800000000000000000e+04 5.949155613780021667e-02 5.949155613780021667e-02 2.512780716642737389e-03
3.900000000000000000e+04 1.490641105920076370e-02 1.490641105920076370e-02 1.257815631106495857e-03
4.000000000000000000e+04 3.817226737737655640e-03 3.817226737737655640e-03 6.364997825585305691e-04
4.100000000000000000e+04 2.177757909521460533e-03 2.177757909521460533e-03 4.807610239367932081e-04
4.200000000000000000e+04 2.039738697931170464e-03 2.039738697931170464e-03 4.652773495763540268e-04
4.300000000000000000e+04 3.832640945911407471e-01 3.832640945911407471e-01 6.377877201884984970e-03
4.400000000000000000e+04 4.645829554647207260e-03 4.645829554647207260e-03 7.021859055384993553e-04
4.500000000000000000e+04 3.227138193324208260e-03 3.227138193324208260e-03 5.852351314388215542e-04
4.600000000000000000e+04 2.340820152312517166e-03 2.340820152312517166e-03 4.984391853213310242e-04
4.700000000000000000e+04 8.516077883541584015e-03 8.516077883541584015e-03 9.507151553407311440e-04
4.800000000000000000e+04 2.615752629935741425e-03 2.615752629935741425e-03 5.268877721391618252e-04
4.900000000000000000e+04 9.577539749443531036e-03 9.577539749443531036e-03 1.008226536214351654e-03
5.000000000000000000e+04 5.879418179392814636e-02 5.879418179392814636e-02 2.497992245480418205e-03
