INDEX,watershed,POPULATION_2010,W_STRUCTURES IN_WUI,W_%HUC_LOW_RISK,W_%HUC_LOW_MOD,W_%HUC_MODERATE,W_%HUC_MOD_HIGH,W_%HUC_HIGH,W_risk,W_risk_level
1,americanfalls,77212,0,0.34,0.51,0.09,0.05,0.13,49.83755,M
2,bear lake,9713,0,0,0.34,0.64,0.02,0,41.97045,M
3,beaver-camas,2403,0,0.3,0.15,0.52,0.02,0,28.2852,L
4,big lost ,3998,0,0.41,0.29,0.27,0.03,0,30.34125,M
5,big wood,23221,0,0.14,0.13,0.36,0.23,0.13,55.118,H
6,birch,18,7,0.8,0.17,0,0.03,0,2.749,L
7,blackfoot,58074,0,0.26,0.35,0.24,0.14,0.01,53.64,H
8,boise mores,3416,2898,0.11,0.07,0.23,0.2,0.34,60.6625,H
9,brownlee reservoir,5185,1960,0.17,0.04,0.23,0.22,0.34,63.5648,H
10,bruneau,670,594,0.8,0.1,0.05,0.05,0,20.99625,L
11,c.j. strike reservoir,26527,2674,0.25,0.17,0.13,0.24,0.21,72.69075,H
12,camas,1034,0,0.03,0.08,0.09,0.48,0.31,32.50995,M
13,central bear,135,0,0.11,0.1,0.15,0.45,0.19,13.9461,L
14,clearwater,45898,2808,0.07,0.2,0.32,0.36,0.06,79.8836,H
15,coeur d'alene lake,34838,11614,0,0.02,0.56,0.42,0,83.20725,H
16,curlew valley,362,0,0.16,0.28,0.3,0.26,0,15.1164,L
17,east little owyhee,0,0,1,0,0,0,0,0.75,L
18,goose,6613,0,0.37,0.34,0.07,0.23,0,35.41565,M
19,hangman,1726,40,0,0.63,0.23,0.14,0,29.8467,M
20,hells canyon,21,0,0.06,0.11,0.78,0.05,0,4.2834,L
21,idaho falls,33155,0,0.45,0.39,0.15,0.02,0,43.785,M
22,jordan,78,0,0.18,0.44,0.18,0.12,0.09,9.75375,L
23,lake walcott,37901,6785,0.52,0.25,0.13,0.09,0.01,61.8432,H
24,lemhi,1881,743,0.13,0.19,0.56,0.1,0.01,39.936,M
25,little bear-logan,0,0,0,0,1,0,0,1.2,L
26,little lost,333,0,0.42,0.5,0.08,0,0,11.5366,L
27,little salmon,2399,1609,0.07,0,0.77,0.15,0,44.07415,M
28,little spokane,691,260,0,0,0,1,0,33,M
29,little wood,10005,15,0.06,0.13,0.42,0.38,0.01,49.3174,M
30,lochsa,79,0,0.53,0,0.47,0,0,8.6535,L
31,lower bear-malad,3867,89,0.14,0.18,0.23,0.43,0.02,43.31665,M
32,lower boise,573637,182070,0.36,0.03,0.12,0.26,0.22,92.6334,H
33,lower clark fork,1619,1010,0.31,0,0.32,0.37,0,38.3474,M
34,lower henrys,30196,106,0.46,0.16,0.33,0.04,0.02,48.6864,M
35,lower kootenai,10481,3747,0.05,0.07,0.71,0.17,0,63.3126,H
36,lower middle fork salmon,4,35,0.27,0.03,0.67,0,0.03,4.04855,L
37,lower north fork clearwater,662,488,0.19,0.03,0.74,0.04,0,25.3912,L
38,lower salmon,1858,486,0.11,0.09,0.6,0.13,0.07,38.502,M
39,lower selway,13754,0,0.25,0,0.75,0,0,5.4375,L
40,lower snake-asotin,28,92,0,0.38,0.14,0.28,0.2,62.5512,H
41,medicine lodge,825,0,0.34,0.4,0.17,0.07,0.02,18.8045,L
42,middle bear,14847,21,0.06,0.21,0.56,0.15,0,50.8508,M
43,middle fork clearwater,1598,282,0,0,0.61,0.4,0,36.918,M
44,middle fork payette,1350,1748,0,0,0.91,0.09,0,39.2832,M
45,middle kootenai,0,0,1,0,0,0,0,0.75,L
46,middle owyhee,21,0,1,0,0,0,0,3.2526,L
47,middle salmon-chamberlain,47,8,0.07,0.01,0.9,0.01,0.01,9.04935,L
48,middle salmon-panter,5895,2522,0.07,0,0.69,0.07,0.02,50.6154,M
49,middle snake-payette,11145,569,0.03,0.02,0.46,0.32,0.17,68.9328,H
50,middle snake-succor,18071,2076,0.24,0.32,0.24,0.19,0.01,58.4643,H
51,moyie,925,374,0.21,0,0.67,0.12,0,29.7336,L
52,north and middle forks boise,44,281,0.6,0.03,0.35,0.02,0,10.885,L
53,north fork payette,9791,12306,0.16,0.15,0.44,0.26,0,63.056,H
54,pahsimeroi,255,61,0.48,0.26,0.23,0.03,0,13.6654,L
55,palisades,761,503,0.15,0.27,0.56,0.02,0,27.47625,L
56,palouse,31487,3185,0.25,0.04,0.29,0.42,0,70.9016,H
57,payette,30522,4575,0.02,0,0.27,0.3,0.4,98.694,H
58,pend oreille,1321,531,0,0,0.21,0.79,0,41.6904,M
59,pend oreille lake,37818,17322,0,0.22,0.31,0.47,0,84.6616,H
60,portneuf,86445,148,0.22,0.18,0.25,0.27,0.09,63.2043,H
61,priest,3623,3424,0,0,0.74,0.25,0.02,55.3797,H
62,raft,1877,0,0.04,0.27,0.39,0.27,0.03,31.245,M
63,rock,36,43,0.23,0.77,0.01,0,0,8.19625,L
64,salmon falls,882,303,0.48,0.16,0.28,0.08,0,24.51,L
65,salt,242,61,0.23,0.24,0.5,0,0.03,14.516,L
66,south fork boise,261,516,0.31,0.09,0.35,0.15,0.1,22.7882,L
67,south fork clearwater,9131,4135,0.14,0.03,0.76,0.06,0,57.8632,H
68,south fork coeur d'alene,11035,5626,0,0,0.23,0.77,0,77.6858,H
69,south fork owyhee,0,0,1,0,0,0,0,0.75,L
70,south fork payette,557,844,0.26,0.04,0.62,0.06,0.03,27.1925,L
71,south fork salmon,64,0,0.21,0.02,0.77,0,0,8.45135,L
72,st.joe,8738,4108,0,0,0.74,0.26,0,62.58525,H
73,teton,27668,83,0.4,0.36,0.21,0.03,0,46.1784,M
74,uper owyhee,481,0,0,0,0.89,0.11,0,17.6859,L
75,upper coeur d'alene,2845,4111,0.18,0.11,0.67,0.04,0,46.9791,M
76,upper henrys,5,0,0.39,0,0.61,0,0,2.3961,L
77,upper middle fork salmon,0,0,0.32,0,0.68,0,0,1.056,L
78,upper north fork clearwater,381,0,0.85,0.08,0.07,0,0,10.9757,L
79,upper salmon,2856,0,0.14,0.16,0.67,0.04,0,31.926,M
